year,season_type,game_id,team,opp,week,attempts_total,yards_total,td_total,fumbles_total,fumbles_lost_total,fumbles_out_of_bounds_total,epa_total,attempts_designed,yards_designed,td_designed,fumbles_designed,fumbles_lost_designed,fumbles_out_of_bounds_designed,epa_designed,attempts_scramble,yards_scramble,td_scramble,fumbles_scramble,fumbles_lost_scramble,fumbles_out_of_bounds_scramble,epa_scramble,attempts_kneel,yards_kneel,td_kneel,fumbles_kneel,fumbles_lost_kneel,fumbles_out_of_bounds_kneel,epa_kneel,attempts,yards,td,fumbles,fumbles_lost,fumbles_out_of_bounds,epa,attempts_rb,yards_rb,td_rb,epa_rb,attempts_qb_designed,yards_qb_designed,td_qb_designed,epa_qb_designed,attempts_qb_scramble,yards_qb_scramble,td_qb_scramble,epa_qb_scramble,attempts_qb_kneel,yards_qb_kneel,epa_qb_kneel,attempts_wr,yards_wr,td_wr,epa_wr,attempts_other,yards_other,td_other,epa_other
2020,REG,2020_01_NYJ_BUF,BUF,NYJ,1,32,98,1,2,2,0,-13.124930331588843,27,72,1,2,2,0,-13.642234365095504,3,28,0,0,0,0,2.5040799927664925,2,-2,0,0,0,0,-1.9867759592598304,30,100,1,2,2,0,-11.138154372329012,18,41,0,-7.123462053645057,9,31,1,-6.518772311450449,3,28,0,2.5040799927664925,2,-2,-1.9867759592598304,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_NYJ_BUF,NYJ,BUF,1,15,52,1,0,0,0,0.21827376922010444,14,46,1,0,0,0,-0.0855113284487743,1,6,0,0,0,0,0.30378509766887873,0,0,0,0,0,0,0.0,15,52,1,0,0,0,0.21827376922010444,14,46,1,-0.08551132844877404,0,0,0,0.0,1,6,0,0.30378509766887873,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_PHI_WAS,PHI,WAS,1,17,57,0,0,0,0,-0.914912517473567,17,57,0,0,0,0,-0.914912517473567,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,17,57,0,0,0,0,-0.914912517473567,16,55,0,-1.7056757703539913,1,2,0,0.7907632528804243,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_PHI_WAS,WAS,PHI,1,36,80,2,0,0,0,-10.399761808046605,31,66,2,0,0,0,-8.736908319348004,2,20,0,0,0,0,1.6896578015876005,3,-6,0,0,0,0,-3.352511290286202,33,86,2,0,0,0,-7.0472505177604035,29,63,2,-8.073406789219007,2,3,0,-0.6635015301289968,2,20,0,1.6896578015876005,3,-6,-3.352511290286202,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_PIT_NYG,NYG,PIT,1,20,29,0,0,0,0,-7.897739976586308,16,7,0,0,0,0,-10.012689386610873,3,23,0,0,0,0,2.1149494100245647,1,-1,0,0,0,0,0.0,19,30,0,0,0,0,-7.897739976586308,16,7,0,-10.012689386610873,0,0,0,0.0,3,23,0,2.1149494100245647,1,-1,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_PIT_NYG,PIT,NYG,1,30,141,0,2,0,0,-5.379750925931147,28,132,0,2,0,0,-3.7646765704848795,1,11,0,0,0,0,0.29373188997851685,1,-2,0,0,0,0,-1.9088062454247847,29,143,0,2,0,0,-3.4709446805063626,26,124,0,-3.2365093131666063,1,0,0,-1.8785833548754451,1,11,0,0.29373188997851685,1,-2,-1.9088062454247847,1,8,0,1.3504160975571722,0,0,0,0.0
2020,REG,2020_01_SEA_ATL,ATL,SEA,1,21,72,1,1,1,0,-7.005063964178701,21,72,1,1,1,0,-7.005063964178701,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,21,72,1,1,1,0,-7.005063964178701,18,72,1,-2.9158482398488554,1,-1,0,-0.107639466537079,0,0,0,0.0,0,0,0.0,1,-1,0,-0.8761568278423509,1,2,0,-3.105419429950416
2020,REG,2020_01_SEA_ATL,SEA,ATL,1,20,84,1,1,0,0,-1.1684552168298978,18,83,1,1,0,0,-0.5918761655048002,1,2,0,0,0,0,-0.5765790513250977,1,-1,0,0,0,0,0.0,19,85,1,1,0,0,-1.1684552168298978,16,43,1,-3.744947724771919,1,28,0,1.876320483861491,1,2,0,-0.5765790513250977,1,-1,0.0,1,12,0,1.2767510754056275,0,0,0,0.0
2020,REG,2020_01_TB_NO,NO,TB,1,34,82,1,0,0,0,-13.577068288556204,31,69,1,0,0,0,-14.106739063863643,2,14,0,0,0,0,0.529670775307439,1,-1,0,0,0,0,0.0,33,83,1,0,0,0,-13.577068288556204,28,60,1,-11.740626333048567,2,0,0,-3.1207740226527676,2,14,0,0.529670775307439,1,-1,0.0,1,9,0,0.7546612918376923,0,0,0,0.0
2020,REG,2020_01_TB_NO,TB,NO,1,26,86,1,0,0,0,0.08951012167381117,25,82,1,0,0,0,0.3463708455092273,1,4,0,0,0,0,-0.2568607238354161,0,0,0,0,0,0,0.0,26,86,1,0,0,0,0.08951012167381117,22,71,0,-1.8029329464770856,2,5,1,1.7623085561790504,1,4,0,-0.2568607238354161,0,0,0.0,1,6,0,0.3869952358072624,0,0,0,0.0
2020,REG,2020_01_TEN_DEN,DEN,TEN,1,26,107,1,2,0,0,1.8646937805751795,25,104,1,2,0,0,1.0685822367959181,1,3,0,0,0,0,0.7961115437792614,0,0,0,0,0,0,0.0,26,107,1,2,0,0,1.8646937805751795,23,102,1,1.9917622334032778,2,2,0,-0.9231799966073595,1,3,0,0.7961115437792614,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_01_TEN_DEN,TEN,DEN,1,34,130,0,0,0,0,-1.7286265341972467,33,119,0,0,0,0,-2.514607920165872,1,11,0,0,0,0,0.7859813859686255,0,0,0,0,0,0,0.0,34,130,0,0,0,0,-1.7286265341972467,31,116,0,-1.5219410702993625,2,3,0,-0.9926668498665097,1,11,0,0.7859813859686255,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2020,REG,2020_02_ATL_DAL,ATL,DAL,2,34,113,0,0,0,0,-3.960949498654562,30,97,0,0,0,0,-4.262575638655108,4,16,0,0,0,0,0.30162614000054633,0,0,0,0,0,0,0.0,34,113,0,0,0,0,-3.960949498654562,29,95,0,-6.423957405320836,0,0,0,0.0,4,16,0,0.30162614000054633,0,0,0.0,0,0,0,0.0,1,2,0,2.161381766665727
